HopNum,GPSR,NGPSR,NPGPSR,NDGPSR
228回目,2.219180,2.461860,2.451060,95.335700
229回目,2.077520,2.461860,2.457780,95.335700
230回目,2.206900,2.470590,2.458330,95.335700
231回目,2.206900,2.508260,2.459570,95.335700
232回目,2.219180,2.470830,2.470830,95.335700
233回目,2.195800,2.489540,2.465020,95.335700
234回目,2.173910,2.461860,2.465810,95.335700
235回目,2.219180,2.475410,2.429820,95.335700
236回目,2.205300,2.466670,2.459920,95.335700
237回目,2.195800,2.706610,2.467530,95.335700
238回目,2.173910,2.540080,2.459920,95.335700
239回目,2.219180,2.472340,2.446350,95.335700
240回目,2.167880,2.450640,2.466940,95.335700
241回目,2.219180,2.439460,2.471070,95.335700
242回目,2.173910,2.461860,2.440680,95.335700
243回目,2.217110,2.475410,2.450000,95.335700
244回目,2.205300,2.472340,2.463520,95.335700
245回目,2.217690,2.431720,2.450640,95.335700
246回目,2.195800,2.474360,2.456070,95.335700
247回目,2.219180,2.489540,2.458520,95.335700
248回目,2.195800,2.495830,2.476990,95.335700
249回目,2.217110,2.439460,2.468620,95.335700
250回目,2.206900,2.466670,2.450220,95.335700
