Memory,GPSR,NGPSR,NPGPSR,NDGPSR
217回目,73440.000000,74288.000000,147180.000000,0.000000
218回目,74040.000000,74804.000000,146756.000000,0.000000
219回目,73444.000000,74476.000000,147096.000000,0.000000
220回目,74024.000000,74980.000000,146860.000000,0.000000
221回目,73960.000000,74620.000000,146792.000000,0.000000
222回目,73688.000000,74316.000000,146940.000000,0.000000
223回目,73692.000000,74952.000000,146364.000000,0.000000
224回目,73616.000000,74528.000000,147252.000000,0.000000
225回目,73632.000000,74636.000000,147024.000000,0.000000
226回目,74076.000000,74664.000000,147176.000000,0.000000
227回目,73876.000000,74768.000000,147092.000000,0.000000
228回目,73896.000000,74700.000000,146972.000000,0.000000
229回目,73748.000000,75108.000000,146988.000000,0.000000
230回目,73632.000000,74788.000000,147228.000000,0.000000
231回目,73960.000000,75100.000000,146860.000000,0.000000
232回目,73688.000000,74940.000000,146824.000000,0.000000
233回目,73740.000000,74852.000000,146824.000000,0.000000
234回目,73424.000000,75128.000000,146940.000000,0.000000
235回目,73600.000000,74852.000000,146972.000000,0.000000
236回目,73956.000000,74840.000000,146900.000000,0.000000
237回目,73432.000000,74312.000000,147116.000000,0.000000
238回目,73688.000000,74748.000000,146932.000000,0.000000
239回目,74048.000000,74804.000000,147104.000000,0.000000
240回目,73960.000000,74684.000000,146512.000000,0.000000
241回目,73740.000000,74904.000000,146664.000000,0.000000
242回目,73880.000000,75080.000000,146808.000000,0.000000
243回目,73680.000000,74856.000000,147052.000000,0.000000
244回目,74216.000000,74292.000000,147076.000000,0.000000
245回目,73660.000000,74952.000000,147192.000000,0.000000
246回目,73896.000000,74516.000000,146636.000000,0.000000
247回目,73472.000000,74952.000000,146500.000000,0.000000
248回目,73664.000000,74600.000000,147072.000000,0.000000
249回目,73728.000000,75084.000000,146884.000000,0.000000
250回目,73656.000000,74280.000000,146860.000000,0.000000
