Memory,GPSR,NGPSR,NPGPSR,NDGPSR
208回目,84880.000000,85760.000000,561076.000000,285092.000000
209回目,84584.000000,85348.000000,560680.000000,285476.000000
210回目,84336.000000,85464.000000,560876.000000,285316.000000
211回目,84512.000000,85228.000000,560800.000000,284992.000000
212回目,84756.000000,85564.000000,560808.000000,285516.000000
213回目,84748.000000,85792.000000,560596.000000,285012.000000
214回目,84780.000000,85800.000000,560896.000000,285464.000000
215回目,84652.000000,85280.000000,560672.000000,284992.000000
216回目,84868.000000,85276.000000,560536.000000,285136.000000
217回目,84432.000000,85672.000000,561048.000000,284820.000000
218回目,84724.000000,85872.000000,560824.000000,285360.000000
219回目,84784.000000,85884.000000,560944.000000,285316.000000
220回目,84684.000000,85588.000000,560712.000000,285140.000000
221回目,84728.000000,85648.000000,560764.000000,285012.000000
222回目,84732.000000,85288.000000,560760.000000,284812.000000
223回目,84352.000000,85608.000000,560800.000000,285444.000000
224回目,84492.000000,85428.000000,560840.000000,285108.000000
225回目,84720.000000,85260.000000,560468.000000,285300.000000
226回目,84548.000000,85728.000000,560728.000000,285160.000000
227回目,84376.000000,85760.000000,560848.000000,285076.000000
228回目,84504.000000,85716.000000,560980.000000,284992.000000
229回目,84736.000000,85304.000000,560904.000000,285072.000000
230回目,84548.000000,85264.000000,560612.000000,285160.000000
231回目,84668.000000,85428.000000,560696.000000,285356.000000
232回目,84344.000000,85668.000000,560892.000000,285332.000000
233回目,84480.000000,85408.000000,560976.000000,285332.000000
234回目,84476.000000,85748.000000,560952.000000,285332.000000
235回目,84464.000000,85700.000000,560404.000000,285108.000000
236回目,84332.000000,85668.000000,560824.000000,285148.000000
237回目,84312.000000,85472.000000,560836.000000,285172.000000
238回目,84492.000000,85112.000000,560924.000000,285480.000000
239回目,84596.000000,85336.000000,560632.000000,284680.000000
240回目,84572.000000,85244.000000,560660.000000,285372.000000
241回目,84772.000000,85656.000000,560512.000000,285328.000000
242回目,84640.000000,85592.000000,560792.000000,285152.000000
243回目,84572.000000,85304.000000,560544.000000,285208.000000
244回目,84776.000000,85528.000000,560684.000000,285360.000000
245回目,84192.000000,85612.000000,560808.000000,285256.000000
246回目,84304.000000,85644.000000,560912.000000,284912.000000
247回目,84304.000000,85768.000000,560888.000000,285376.000000
248回目,84444.000000,85536.000000,560604.000000,284976.000000
249回目,84364.000000,85712.000000,560772.000000,285500.000000
250回目,84456.000000,85620.000000,560480.000000,285156.000000
