Overhead,GPSR,NGPSR,NPGPSR,NDGPSR
231回目,5225230.000000,13948743.000000,12328346.000000,12284897.000000
232回目,5235236.000000,13927227.000000,12315570.000000,12253477.000000
233回目,5231356.000000,13804531.000000,12323650.000000,12312823.000000
234回目,5226268.000000,13825273.000000,12297342.000000,12294557.000000
235回目,5223126.000000,13966379.000000,12316048.000000,12280057.000000
236回目,5263474.000000,13918488.000000,12310914.000000,12280057.000000
237回目,5235236.000000,13948743.000000,12276994.000000,12262175.000000
238回目,5231356.000000,14032186.000000,12289982.000000,12284045.000000
239回目,5236662.000000,13882984.000000,12306348.000000,12295547.000000
240回目,5225230.000000,13918488.000000,12339316.000000,12284045.000000
241回目,5226748.000000,13871676.000000,12318084.000000,12284045.000000
242回目,5263474.000000,13826843.000000,12312144.000000,12295703.000000
243回目,5235236.000000,13976635.000000,12304450.000000,12312823.000000
244回目,5258782.000000,13820417.000000,12326570.000000,12298905.000000
245回目,5236662.000000,13982778.000000,12310044.000000,12253477.000000
246回目,5225230.000000,13927176.000000,12302592.000000,12284897.000000
247回目,5263474.000000,13893192.000000,12403278.000000,12284045.000000
248回目,5223126.000000,13882984.000000,12333804.000000,12312823.000000
249回目,5257928.000000,13946763.000000,12295636.000000,12294557.000000
250回目,5223126.000000,13843343.000000,12280286.000000,12295547.000000
